Human_date,Channel,kwh,db_date,
2/7/2019 19:00,10,1.393,2019-02-07 19:00:00,
2/7/2019 20:00,10,1.953,2019-02-07 20:00:00,
2/7/2019 21:00,10,1.255,2019-02-07 21:00:00,
2/7/2019 22:00,10,1.031,2019-02-07 22:00:00,
2/7/2019 23:00,10,1.34,2019-02-07 23:00:00,
2/8/2019 0:00,10,0.736,2019-02-08 00:00:00,
2/8/2019 1:00,10,0.71,2019-02-08 01:00:00,
2/8/2019 2:00,10,0.747,2019-02-08 02:00:00,
2/8/2019 3:00,10,0.632,2019-02-08 03:00:00,
2/8/2019 4:00,10,0.737,2019-02-08 04:00:00,
2/8/2019 5:00,10,0.686,2019-02-08 05:00:00,
2/8/2019 6:00,10,1,2019-02-08 06:00:00,
2/8/2019 7:00,10,0.921,2019-02-08 07:00:00,
2/8/2019 8:00,10,0.959,2019-02-08 08:00:00,
2/8/2019 9:00,10,0.629,2019-02-08 09:00:00,
2/8/2019 10:00,10,0.722,2019-02-08 10:00:00,
2/8/2019 11:00,10,0.702,2019-02-08 11:00:00,
2/8/2019 12:00,10,0.592,2019-02-08 12:00:00,
2/8/2019 13:00,10,0.511,2019-02-08 13:00:00,
2/8/2019 14:00,10,0.728,2019-02-08 14:00:00,
2/8/2019 15:00,10,0.749,2019-02-08 15:00:00,
2/8/2019 16:00,10,0.735,2019-02-08 16:00:00,
2/8/2019 17:00,10,0.741,2019-02-08 17:00:00,
2/8/2019 18:00,10,1.118,2019-02-08 18:00:00,
2/8/2019 19:00,10,0.932,2019-02-08 19:00:00,
2/8/2019 20:00,10,0.962,2019-02-08 20:00:00,
2/8/2019 21:00,10,1.259,2019-02-08 21:00:00,
2/8/2019 22:00,10,0.868,2019-02-08 22:00:00,
2/8/2019 23:00,10,0.819,2019-02-08 23:00:00,
2/9/2019 0:00,10,0.708,2019-02-09 00:00:00,
2/9/2019 1:00,10,0.836,2019-02-09 01:00:00,
2/9/2019 2:00,10,0.798,2019-02-09 02:00:00,
2/9/2019 3:00,10,0.759,2019-02-09 03:00:00,
2/9/2019 4:00,10,0.907,2019-02-09 04:00:00,
2/9/2019 5:00,10,0.94,2019-02-09 05:00:00,
